Company,Item,Category,Calories,"Calories from
Fat",Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Fiber (g),Sugars (g),Protein (g),"Weight Watchers
Pnts"
McDonald’s,Salad Dressings,Food,,,,,,,,,,,,
McDonald’s,Hamburger Happy Meal,Food,475,,16,5.5 g,0,40,690,62,2,20,22,
McDonald’s,4 Piece Chicken McNuggets Happy Meal,Food,395,,17,3.5,0,35,510,41,1,14,19,
McDonald’s,6 Piece Chicken McNuggets Happy Meal,Food,475,,22,4.5,0,50,680,46,2,14,24,
McDonald’s,Dasani Water,Drink,0,0,0,0,0,0,0,0,0,0,0,0
Burger King,Coca Cola classic,Drink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burger King,Diet Coke,Drink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burger King,16 fl oz,Drink,0,0,0,0,0,0,70,0,0,0.1,0,0
Burger King,20 fl oz,Drink,0,0,0,0,0,0,85,0,0,0.1,0,0
Burger King,29 fl oz,Drink,0,0,0,0,0,0,120,0,0,0.1,0,0
Burger King,38 fl oz,Drink,0,0,0,0,0,0,160,0,0,0.1,0,0
Burger King,Sprite,Drink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burger King,Dr. Pepper,Drink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burger King,Barq’s Root Beer,Drink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burger King,Cherry Coke,Drink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burger King,Fanta Orange,Drink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burger King,Hi-C Fruit Punch,Drink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burger King,MINUTE MAID Light Lemonade,Drink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burger King,16 fl oz,Drink,10,0,0,0,0,0,60,3,0,0.1,0,0
Burger King,20 fl oz,Drink,10,0,0,0,0,0,70,4,0,0.1,0,0
Burger King,29 fl oz,Drink,15,0,0,0,0,0,105,5,0,0.1,0,0
Burger King,38 fl oz,Drink,20,0,0,0,0,0,135,7,0,0.1,0,0
Burger King,Sweet Tea,Drink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burger King,Unsweetened Tea,Drink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burger King,20 fl oz,Drink,0,0,0,0,0,0,0,0,0,0.1,0,0
Burger King,29 fl oz,Drink,0,0,0,0,0,0,0,0,0,0.1,0,0
Burger King,40 fl oz,Drink,0,0,0,0,0,0,0,0,0,0.1,0,0
Burger King,BK Café Coffee- 12 fl oz,Drink,0,0,0,0,0,0,0,0,0,0.1,0,0
Burger King,BK Café Coffee- 16 fl oz,Drink,0,0,0,0,0,0,0,0,0,0.1,0,0
Burger King,BK Café Coffee- 20 fl oz,Drink,0,0,0,0,0,0,0,0,0,0.1,0,0
Burger King,BK Café Decaf Coffee- 12 fl oz,Drink,0,0,0,0,0,0,0,0,0,0.1,0,0
Burger King,BK Café Decaf Coffee- 16 fl oz,Drink,0,0,0,0,0,0,0,0,0,0.1,0,0
Burger King,BK Café Decaf Coffee- 20 fl oz,Drink,0,0,0,0,0,0,0,0,0,0.1,0,0
Wendy’s,"Brewed Unsweetened Iced Tea, Medium",Drink,0,,0,0,0,0,15,1,0,0.1,0,0
Wendy’s,"Brewed Unsweetened Iced Tea, Small",Drink,0,,0,0,0,0,10,1,0,0.1,0,0
Wendy’s,"Coca-Cola Zero Sugar, Large",Drink,0,,0,0,0,0,100,1,0,0.1,0,0
Wendy’s,"Coca-Cola Zero Sugar, Medium",Drink,0,,0,0,0,0,80,1,0,0.1,0,0
Wendy’s,"Coca-Cola Zero Sugar, Small",Drink,0,,0,0,0,0,50,0,0,0.1,0,0
Wendy’s,"Diet Coke, Large",Drink,0,,0,0,0,0,125,1,0,0.1,0,0
Wendy’s,"Diet Coke, Medium",Drink,0,,0,0,0,0,100,1,0,0.1,0,0
Wendy’s,"Diet Coke, Small",Drink,0,,0,0,0,0,45,0,0,0.1,0,0
Wendy’s,Hot Tea,Drink,0,,0,0,0,0,0,1,0,0.1,0,0
KFC,Diet Dr Pepper (12 fl oz),Drink,0,,0,0,0,0,70,0,0,0.1,0,0
KFC,Diet Dr Pepper (16 fl oz),Drink,0,,0,0,0,0,95,0,0,0.1,0,0
KFC,Diet Dr Pepper (20 fl oz),Drink,0,,0,0,0,0,120,0,0,0.1,0,0
KFC,Diet Dr Pepper (30 fl oz),Drink,0,,0,0,0,0,180,0,0,0.1,0,0
KFC,Diet Mist Twst (12 fl oz),Drink,0,,0,0,0,0,35,0,0,0.1,0,0
KFC,Diet Mist Twst (16 fl oz),Drink,0,,0,0,0,0,50,0,0,0.1,0,0
KFC,Diet Mist Twst (20 fl oz),Drink,0,,0,0,0,0,60,0,0,0.1,0,0
KFC,Diet Mountain Dew (12 fl oz),Drink,0,,0,0,0,0,55,1,0,0.1,0,0
KFC,Diet Pepsi (12 fl oz),Drink,0,,0,0,0,0,55,0,0,0.1,0,0
KFC,Diet Pepsi (16 fl oz),Drink,0,,0,0,0,0,75,0,0,0.1,0,0
KFC,Diet Pepsi (20 fl oz),Drink,0,,0,0,0,0,95,0,0,0.1,0,0
KFC,Diet Pepsi (30 fl oz),Drink,0,,0,0,0,0,140,0,0,0.1,0,0
KFC,Diet Pepsi Wild Cherry Pepsi (12 fl oz),Drink,0,,0,0,0,0,35,0,0,0.1,0,0
KFC,Diet Pepsi Wild Cherry Pepsi (16 fl oz),Drink,0,,0,0,0,0,50,0,0,0.1,0,0
KFC,Diet Pepsi Wild Cherry Pepsi (20 fl oz),Drink,0,,0,0,0,0,60,0,0,0.1,0,0
KFC,Diet Pepsi Wild Cherry Pepsi (30 fl oz),Drink,0,,0,0,0,0,95,0,0,0.1,0,0
KFC,Lipton Brisk No Calorie Peach Iced Green Tea (12 fl oz),Drink,0,,0,0,0,0,105,0,0,0.1,0,0
KFC,Lipton Brisk No Calorie Peach Iced Green Tea (16 fl oz),Drink,0,,0,0,0,0,140,0,0,0.1,0,0
KFC,Lipton Brisk Unsweetened No Lemon Iced Tea (12 fl oz),Drink,0,,0,0,0,0,45,0,0,0.1,0,0
KFC,Lipton Brisk Unsweetened No Lemon Iced Tea (16 fl oz),Drink,0,,0,0,0,0,60,0,0,0.1,0,0
KFC,Lipton Brisk Unsweetened No Lemon Iced Tea (20 fl oz),Drink,0,,0,0,0,0,75,0,0,0.1,0,0
KFC,Lipton Brisk Unsweetened No Lemon Iced Tea (30 fl oz),Drink,0,,0,0,0,0,115,0,0,0.1,0,0
KFC,Pepsi Zero Sugar (12 fl oz),Drink,0,,0,0,0,0,35,0,0,0.1,0,0
KFC,Pepsi Zero Sugar (16 fl oz),Drink,0,,0,0,0,0,50,0,0,0.1,0,0
KFC,Pepsi Zero Sugar (20 fl oz),Drink,0,,0,0,0,0,60,0,0,0.1,0,0
KFC,Pepsi Zero Sugar (30 fl oz),Drink,0,,0,0,0,0,95,1,0,0.1,0,0
KFC,Sobe Lifewater Yumberry Pomegranate (12 fl oz),Drink,0,,0,0,0,0,45,0,0,0.1,0,0
KFC,Sobe Lifewater Yumberry Pomegranate (16 fl oz),Drink,0,,0,0,0,0,65,0,0,0.1,0,0
KFC,Sobe Lifewater Yumberry Pomegranate (20 fl oz),Drink,0,,0,0,0,0,80,0,0,0.1,0,0
Taco Bell,Bacon Club Chalupa,Drink,440,240,27,5,0,50,840,31,2,3,20,
Taco Bell,Blue Raspberry Freeze™ (16 oz),Drink,120,0,0,0,0,0,35,30,0,30,0,
Taco Bell,Blue Raspberry Freeze™ (20 oz),Drink,150,0,0,0,0,0,40,38,0,38,0,
Taco Bell,Loaded Nacho Taco,Drink,250,110,12,4.5,0,25,610,24,3,2,10,
Taco Bell,Midnight Berry Freeze™ (16 oz),Drink,140,0,0,0,0,0,35,35,0,34,0,
Taco Bell,Midnight Berry Freeze™ (20 oz),Drink,170,0,0,0,0,0,40,43,0,42,0,
Taco Bell,Nacho Fries,Food,320,160,18,1.5,0,<5,630,35,4,2,4,
Taco Bell,Nacho Fries BellGrande,Food,710,360,40,6,0,30,1440,73,10,4,13,
Taco Bell,Black Bean Chalupa – Online Exclusive,Food,330,140,15,3,0,10,430,39,5,3,10,
Taco Bell,Black Bean Quesarito – Online Exclusive,Food,630,270,29,10,0,35,1260,73,7,5,19,
Taco Bell,Quesarito – Online Exclusive,Food,650,300,33,12,0.5,55,1390,67,6,5,22,
Taco Bell,Chalupa Supreme – Beef,Food,350,170,18,5,0,25,560,33,4,3,13,
Taco Bell,Chalupa Supreme – Chicken,Food,330,140,15,3.5,0,35,560,31,2,3,16,
Taco Bell,Chalupa Supreme – Steak,Food,330,140,16,4,0,30,530,32,2,3,15,
Taco Bell,Cheesy Gordita Crunch,Food,500,250,28,10,0.5,55,850,41,5,4,20,
Taco Bell,Crunchy Taco,Food,170,80,9,3.5,0,25,310,13,3,<1,8,
Taco Bell,Crunchy Taco Supreme,Food,190,100,11,4.5,0,25,340,15,3,2,8,
Taco Bell,Loaded Nacho Taco (New),Food,250,110,12,4.5,0,25,610,24,3,2,10,
Taco Bell,Nacho Cheese Doritos Locos Taco,Food,170,80,9,3.5,0,25,360,13,3,<1,8,
